order,output
1080,(ORDER repeat my (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING roasted ) (TOPPING tomatoes ) pizza with light (TOPPING vegan ) (TOPPING pepperoni ) and no (NOT (TOPPING olives ) ) ) )
1081,(ORDER lets get (PIZZAORDER (NUMBER one ) (SIZE medium-sized ) pizza with leeks and (TOPPING roasted ) eggplant and (TOPPING a ) medium unsweetened ice teas ) )
1082,(ORDER let me prefer (PIZZAORDER (NUMBER a ) (SIZE personal ) pie along with (TOPPING onion ) (TOPPING tomato ) (TOPPING sauce ) but hold (NOT (TOPPING pesto ) ) ) )
1083,(ORDER i am (PIZZAORDER going to need you to order me 1 al pizza with a bunch of (TOPPING mushy ) peas and 1 medium (SIZE pizza ) with sausage ) )
1084,(ORDER let me (PIZZAORDER get (NUMBER a ) (SIZE large ) pie with (TOPPING chorizo ) (TOPPING be ) chicken and (TOPPING prosciutto ) ) )
1085,(ORDER i'll (PIZZAORDER go ahead and order a pizza (NUMBER with ) tomato sauce (TOPPING beef ) (TOPPING and ) (TOPPING alfredo ) chicken (TOPPING please ) ) )
1086,(ORDER (PIZZAORDER i've decided on a extra (SIZE large ) (SIZE pizza ) with green olives (TOPPING and ) (TOPPING mushroom ) but (TOPPING hold ) ham please ) )
1087,(ORDER i'm having (PIZZAORDER a party (NUMBER in ) a few hours and i need a large-size (NUMBER pie ) (SIZE and ) no tomato sauce please ) )
1088,(ORDER (PIZZAORDER begin an oder for (NUMBER thirteen ) (SIZE personal ) (TOPPING sausage ) and goat (TOPPING cheese ) pies with (TOPPING peppers ) ) )
1089,(ORDER i need (PIZZAORDER an order of (NUMBER 15 ) (SIZE large ) pies with (TOPPING supreme ) and (TOPPING ground ) beef onions ) )
1090,(ORDER i guess (PIZZAORDER i'll get a medium (NUMBER suffer ) (SIZE crust ) (STYLE pie ) with capers and (TOPPING duck ) ) )
1091,(ORDER could i opt (PIZZAORDER for (NUMBER a ) al pizza and (TOPPING i ) want double (TOPPING beef ) and (TOPPING pesto ) but no (NOT (TOPPING olives ) thanks ) ) )
1092,(ORDER (PIZZAORDER hi how are you i have an order for (SIZE a ) (STYLE medim-sized ) all (SIZE the ) (SIZE meats ) door pizza (TOPPING with ) sundries tomatoes and card ) )
1093,(ORDER (PIZZAORDER let's try a pie (NUMBER in ) medium size (SIZE with ) olives and (TOPPING hams ) but (TOPPING without ) buffalo sauce ) )
1094,(ORDER i wanna (PIZZAORDER get (NUMBER 6 ) media pizzas with (NUMBER one ) (DRINKTYPE pellegrino ) ) )
1095,(ORDER hey order me (PIZZAORDER (NUMBER thirteen ) (SIZE much ) pies with (TOPPING green ) (TOPPING peppers ) and (TOPPING salami ) but hold pesto ) )
1096,(ORDER put (PIZZAORDER an order in for (NUMBER 1 ) pie with (TOPPING tomato ) (TOPPING sauce ) and (TOPPING cherry ) (TOPPING tomatoes ) no be (NOT (TOPPING sauce ) ) ) )
1097,(ORDER want 8 (PIZZAORDER pies along with (TOPPING ground ) (TOPPING beef ) and (TOPPING jalapeño ) peppers and without (NOT (TOPPING pepperoni ) ) ) )
1098,(ORDER (PIZZAORDER i am trying to order (NUMBER 1 ) al set corn pizza 1 al cheese pizza and 1 al pan pizza without (NOT (TOPPING bell ) peppers ) ) )
1099,(ORDER (PIZZAORDER i'd like to stick with a largesse (NUMBER pie ) (SIZE with ) jalapeños and pine (TOPPING apple ) but avoid adding sausage please ) )
1100,(ORDER (PIZZAORDER (NUMBER a ) pizza that (NUMBER is ) (SIZE medium-sized ) with meatball and a medium (NUMBER pineapple ) ) )
1101,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING make ) me 15 (TOPPING basil ) and be (TOPPING sauce ) pizzas no (NOT (TOPPING greenflies ) ) ) )
1102,(ORDER (PIZZAORDER today i just need 10 (STYLE veggies ) lover red (TOPPING onion ) pies with no bacon ) )
1103,(ORDER could you give (PIZZAORDER me (NUMBER a ) (SIZE medium ) (TOPPING balsamic ) (TOPPING gaze ) pizza with more (TOPPING cheese ) and no olives ) )
1104,(ORDER let'stry (PIZZAORDER a new york (NUMBER stole ) (STYLE large ) pizza but hold the anchovies ) )
1105,(ORDER have 12 (PIZZAORDER (SIZE large ) Cappuccinos one medium coke (NUMBER two ) (DRINKTYPE large sprites ) (NUMBER and ) (SIZE three ) (DRINKTYPE large ) ice (NUMBER teas ) ) )
1106,(ORDER i'm (PIZZAORDER going to order a pizza in al size along (SIZE with ) hummus cherry tomatoes but (TOPPING without ) (TOPPING bacon ) ) )
1107,(ORDER i want (PIZZAORDER to order (NUMBER a ) (SIZE medium-sized ) pizza with cheeseburger and (TOPPING a ) cherry (NUMBER coke ) ) )
1108,(ORDER i needy (PIZZAORDER to order me (NUMBER 1 ) (SIZE large ) pizza with (QUANTITY extra ) (TOPPING mint ) (TOPPING chicken ) and no (NOT (TOPPING tuna ) ) ) )
1109,(ORDER i wish (PIZZAORDER to hae two (NUMBER al ) balsamic glaze (TOPPING and ) chorizo (TOPPING pies ) without sundries tomatoes ) )
1110,(ORDER i like (PIZZAORDER to (NUMBER 15 ) (SIZE medium-sized ) pies with chicago style (QUANTITY and ) (TOPPING smoked ) salmon onions ) )
1111,(ORDER i wan (PIZZAORDER you to put in an order for (NUMBER a ) al kimchi pizza with black (TOPPING olive ) (TOPPING and ) no cheddar (NOT (TOPPING cheese ) ) ) )
1112,(ORDER i'm going (PIZZAORDER to order a lunch (NUMBER pizza ) (SIZE with ) cheeseburger and (TOPPING jalapeño ) peppers (TOPPING without ) peppers ) )
1113,(ORDER i'd appreciate (PIZZAORDER a crunchy (NUMBER vegetarian ) pizza with fresh truffleoil and green pepper ) )
1114,(ORDER i'mhaving a (PIZZAORDER bunch of people (NUMBER over ) tonight so i need a medium-size pie and (NUMBER put ) (SIZE pepper ) and truffle oil on (TOPPING it ) and i guess ham (TOPPING also ) that's all ) )
1115,(ORDER id like (PIZZAORDER t order (NUMBER 1 ) (SIZE personal ) pie with canadian (TOPPING bacon ) and (TOPPING mushroom ) without any (NOT (TOPPING pesto ) please ) ) )
1116,(ORDER pu (PIZZAORDER an order in for (SIZE a ) (SIZE medium-size ) pizza with hot papers (TOPPING on ) (TOPPING it ) and also tuna but i don't like pesto thanks ) )
1117,(ORDER (PIZZAORDER could you please get me seven pizzas make them both me i want leeks zucchini and pesto as well thanks a lot ) )
1118,(ORDER i'm ready (PIZZAORDER to settle for a small (NUMBER mushy ) (SIZE peas ) and banana peppers (TOPPING pie ) hold (TOPPING the ) tuna ) )
1119,(ORDER (PIZZAORDER i'll for a total (NUMBER of ) a largesse (NUMBER fantasy ) (SIZE a ) santa and (NUMBER three ) (DRINKTYPE pepsi ) please ) )
1120,(ORDER (PIZZAORDER place an order for (NUMBER a ) (SIZE large ) mexican pizza with light on (TOPPING cheese ) and (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) pizza ) )
1121,(ORDER (PIZZAORDER make an order for (NUMBER a ) al pizza with (TOPPING feta ) and (TOPPING parsley ) to go with two bottle of sprite ) )
1122,(ORDER (PIZZAORDER today i'd like two onions (NUMBER and ) (TOPPING footing ) cheese (TOPPING pizza ) (TOPPING with ) no tuna ) )
1123,(ORDER (PIZZAORDER i think i'll stick with a medium (NUMBER pizza ) (SIZE with ) artichokes and (TOPPING spicy ) red (TOPPING sauce ) with double basil on the top ) )
1124,(ORDER (PIZZAORDER i would love to have (NUMBER a ) (SIZE extra ) large pizza with (TOPPING pesto ) and ham and (NUMBER a ) (SIZE extra ) large pizza with (TOPPING pepperoni ) and pesto and (NUMBER a ) (SIZE small ) (SIZE pizza ) with mushrooms and ) )
1125,(ORDER i want (PIZZAORDER to get (NUMBER 14 ) me (TOPPING onion ) pizzas with (TOPPING pan ) and no (NOT (TOPPING olives ) ) ) )
1126,(ORDER pleasecan i have a (PIZZAORDER (NUMBER medium ) (SIZE cherry ) (STYLE tomatoes ) (TOPPING pizza ) with little (QUANTITY cheese ) (TOPPING and ) two (NUMBER medium ) (SIZE ice ) (DRINKTYPE tea ) ) )
1127,(ORDER i'm ready (PIZZAORDER to have a large (NUMBER size ) (SIZE pie ) that has cumin and (TOPPING feta ) no (TOPPING sirach ) sauce please ) )
1128,(ORDER i'd like (PIZZAORDER a total (NUMBER of ) a medum-size (SIZE pie ) and for toppings make them hams wayleaves (TOPPING as ) well as (TOPPING mushrooms ) i appreciate it ) )
1129,(ORDER i think i'll (PIZZAORDER stick with a pizza (NUMBER and ) for toppings make (TOPPING it ) red peppers (TOPPING olive ) and might as well go for lean zest too ) )
1130,(ORDER (PIZZAORDER i'd like o put in an order for five pizzas (NUMBER with ) arugula lamb (TOPPING and ) ground be ) )
1131,(ORDER (PIZZAORDER okay let me think okay i'll take 1 lage-size (NUMBER pan ) pizza ) )
1132,(ORDER i (PIZZAORDER am trying to order (NUMBER one ) (SIZE large-size ) pie and i think i'll go for toppings of garlic and i guess chicken also i don't like hawaiian thanks ) )
1133,(ORDER want eleven (PIZZAORDER (TOPPING feta ) cheese parmesan and capers pie ) )
1134,(ORDER (PIZZAORDER godlike to order just a (NUMBER lunch ) (SIZE pie ) and i'll try it with black beans and (TOPPING mushrooms ) (TOPPING please ) no (TOPPING light ) on cheese that's (NOT (TOPPING it ) ) ) )
1135,(ORDER i wish to (PIZZAORDER have 7 (TOPPING tomato ) and (TOPPING cheddar ) cheese pie with no (NOT (TOPPING beef ) ) ) )
1136,(ORDER repeat my (PIZZAORDER (NUMBER 1 ) me poppy seeds pizza and (NUMBER a ) (VOLUME two liter ) of (DRINKTYPE doctor peppers ) ) )
1137,(ORDER (PIZZAORDER make sure to get me (NUMBER 8 ) pies in lunch size along with (TOPPING goat ) (TOPPING cheese ) and (TOPPING red ) onion ) )
1138,(ORDER i'm try (PIZZAORDER two al (NUMBER new ) (SIZE york ) style lamb (TOPPING and ) (TOPPING ham ) pizzas (TOPPING with ) two large ice (SIZE teas ) with no sugar ) )
1139,(ORDER please may i (PIZZAORDER have (NUMBER a ) (SIZE large ) pizza with leeks grilled (TOPPING chicken ) and olives (TOPPING and ) three (NUMBER large ) (SIZE diet ) (DRINKTYPE sprites ) ) )
1140,(ORDER (PIZZAORDER (NUMBER fifteen ) al pizzas with gorgonzola (TOPPING and ) ham ) )
1141,(ORDER (PIZZAORDER put in the order for (NUMBER 14 ) late pizzas with prosciutto sausage and tuna ) )
1142,(ORDER place an (PIZZAORDER order for (NUMBER a ) (STYLE meat ) lovers (TOPPING arugula ) pizza with no (NOT (TOPPING truffle ) oil ) ) )
1143,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put up 6 pies with (TOPPING bacon ) and (TOPPING onions ) but without any (NOT (TOPPING chicken ) ) ) )
1144,(ORDER (PIZZAORDER how about playing (NUMBER two ) order for two (TOPPING jalapeño ) (TOPPING peppers ) and (TOPPING cheddar ) cheese pizza i don't want any mushrooms on it and i'd like it meium-size ) )
1145,(ORDER i would (PIZZAORDER like to order (NUMBER a ) (SIZE medium-sized ) roasted tomatoes (STYLE pizza ) (TOPPING with ) mint and (TOPPING onions ) ) )
1146,(ORDER (PIZZAORDER my order for today is for (NUMBER a ) me pie and (TOPPING artichokes ) (TOPPING pineapples ) but hold on light cheese ) )
1147,(ORDER repeat my last (PIZZAORDER order of (SIZE a ) everything hot (TOPPING peppers ) and (TOPPING lettuce ) pie ) )
1148,(ORDER i'm going (PIZZAORDER order a al (NUMBER anchovies ) pizza with fresh lamb ) )
1149,(ORDER (PIZZAORDER fetch me (NUMBER a ) pizza and i want (TOPPING green ) bell (TOPPING peppers ) as (TOPPING well ) as sweet potatoes please no pepperoni that's it ) )
1150,(ORDER do (PIZZAORDER (SIZE a ) large-size pie with no sauted spinach ) )
1151,(ORDER (PIZZAORDER can you handle this order (NUMBER a ) (SIZE lunch ) bacon cherry (TOPPING tomatoes ) and (TOPPING sausage ) pizza ) )
1152,(ORDER (PIZZAORDER (NUMBER thirteen ) (SIZE extra ) large pizzas with (TOPPING pepper ) (TOPPING cherry ) (TOPPING tomatoes ) and (TOPPING olives ) ) )
1153,(ORDER i just want (PIZZAORDER fifteen lemon six mediu-size cokes (SIZE and ) six mediu-size fantasy ) )
1154,(ORDER i feel like (PIZZAORDER going with (SIZE a ) (SIZE extra ) large pizza with (TOPPING feta ) (TOPPING cheese ) and (TOPPING spinach ) on it no (NOT (TOPPING parsley ) ) ) )
1155,(ORDER i (PIZZAORDER think i'll have a al (NUMBER pizza ) and i want that deep dish also i (TOPPING want ) jalapeño peppers (NOT (TOPPING on ) there as well as sausage ) ) )
1156,(ORDER i like (PIZZAORDER to try (NUMBER one ) pizza and i'd like hot peppers (QUANTITY deep ) (TOPPING dish ) and (TOPPING please ) leave off the peppers thanks ) )
1157,(ORDER (PIZZAORDER my order today is for (NUMBER a ) pizza that has (TOPPING spicy ) red sauce and (NUMBER a ) drizzle cheese no bacon though ) )
1158,(ORDER id like (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING lettuce ) and a little (STYLE cheese ) and don't put olives on it ) )
1159,(ORDER i'm going (PIZZAORDER to have a medium (NUMBER pizza ) (SIZE with ) hamburger and (TOPPING ham ) with (TOPPING no ) light on cheese ) )
1160,(ORDER i want (PIZZAORDER to (NUMBER a ) (SIZE medium ) (TOPPING green ) (TOPPING pepper ) and (TOPPING mushroom ) pizza with (NOT (QUANTITY no ) (NOT (TOPPING pesto ) ) ) )
1161,(ORDER could i settle (PIZZAORDER on (NUMBER a ) medim-sized cherry tomatoes and (TOPPING ham ) (TOPPING pizza ) pie (TOPPING but ) do not put onions on (TOPPING it ) ) )
1162,(ORDER (PIZZAORDER begin an order for (NUMBER 14 ) (SIZE small ) pizzas with (TOPPING salami ) (TOPPING olive ) and (TOPPING pesto ) ) )
1163,(ORDER (PIZZAORDER let's put in for a lunch (NUMBER pizza ) (SIZE with ) red onion (TOPPING gorgonzola ) and no (TOPPING peppers ) ) )
1164,(ORDER i want (PIZZAORDER to place an order for (NUMBER a ) pizza and definitely double (TOPPING tomato ) (TOPPING sauce ) and how about some (TOPPING peppers ) too but leave (NOT (TOPPING the ) pesto off it that's all ) ) )
1165,(ORDER repeat my (PIZZAORDER (NUMBER a ) pizza with no (NOT (TOPPING artichokes ) ) ) )
1166,(ORDER i'm going (PIZZAORDER to order one medium-size (NUMBER five ) (SIZE topping ) pizza with the (STYLE toppings ) being ricotta cheese (TOPPING bell ) peppers sweet (TOPPING corn ) black olives and sausage ) )
1167,(ORDER i'd like (PIZZAORDER to secure a extralarge (NUMBER pizza ) (SIZE with ) additional lettuce sausage and ham ) )
1168,(ORDER today need (PIZZAORDER (NUMBER a ) (SIZE lunch ) (TOPPING olive ) and (TOPPING ham ) pizza no a bunch of (TOPPING cheese ) though ) )
1169,(ORDER (PIZZAORDER (SIZE just ) pie with (TOPPING pesto ) and (NUMBER a ) (DRINKTYPE sizzle ) cheese ) )
1170,(ORDER looking or (PIZZAORDER (NUMBER a ) (TOPPING pesto ) sauce and (TOPPING bacon ) (TOPPING pizza ) without the (NOT (TOPPING more ) cheese ) ) )
1171,(ORDER i would (PIZZAORDER like to go for (NUMBER four ) light on late pies with (TOPPING onions ) (TOPPING bacon ) but no light (NOT (TOPPING on ) cheese ) ) )
1172,(ORDER how about grabbing (PIZZAORDER (NUMBER 1 ) (SIZE medium-size ) cumin pesto (TOPPING and ) olive pizza ) )
1173,(ORDER o i want (PIZZAORDER (NUMBER 1 ) (SIZE medium-size ) truffle oil meatball and (TOPPING olive ) (TOPPING pizza ) ) )
1174,(ORDER i need (PIZZAORDER an order of (NUMBER two ) (SIZE large ) pizzas peppers (TOPPING and ) mushrooms no (NOT (TOPPING onions ) ) ) )
1175,(ORDER (PIZZAORDER do (NUMBER a ) pie with (TOPPING pepperoni ) (TOPPING leeks ) and (TOPPING tomato ) (TOPPING sauce ) ) )
1176,(ORDER (PIZZAORDER (NUMBER four ) (SIZE largesse ) vegan pepperoni (TOPPING and ) basil (TOPPING pizzas ) with a (NUMBER two ) liter of (DRINKTYPE sven up ) ) )
1177,(ORDER can i please (PIZZAORDER (NUMBER get ) (SIZE medium-sized ) pizza along with black beans (TOPPING and ) (TOPPING pesto ) but (TOPPING hold ) pepperoni ) )
1178,(ORDER (PIZZAORDER get (SIZE a ) tuna pizza (SIZE medium-sized ) without any gorgonzola and it (NOT (TOPPING should ) with everything ) ) )
1179,(ORDER have a (PIZZAORDER (SIZE medium-sized ) (SIZE chorizo ) and oregano pie (TOPPING with ) no peppers ) )
1180,(ORDER please i want (PIZZAORDER (NUMBER a ) pizza with (TOPPING light ) on (TOPPING red ) onion and sauted (TOPPING spinach ) and no vegan (NOT (TOPPING pepperoni ) please ) ) )
1181,(ORDER (PIZZAORDER for today please make me (NUMBER a ) (SIZE large-size ) pizza with anchovies and (TOPPING mushrooms ) but (TOPPING without ) bacon ) )
1182,(ORDER (PIZZAORDER let's see i want a 1 (NUMBER pizza ) with peas and (TOPPING highrise ) and (TOPPING tomato ) thanks ) )
1183,(ORDER (PIZZAORDER let's finalize with a mediu-sized pica (NUMBER with ) (STYLE blue ) cheese (SIZE no ) pesto and pan ) )
1184,(ORDER i'd like (PIZZAORDER to try a large-size (SIZE pizza ) (SIZE with ) mushrooms extra shrimp and (STYLE pesto ) (QUANTITY please ) (TOPPING add ) one (TOPPING pepsi ) ) )
1185,(ORDER please may i (PIZZAORDER have (NUMBER a ) (SIZE personal ) pizza with (TOPPING parsley ) (TOPPING peppers ) and (TOPPING olives ) please ) )
1186,(ORDER i have (PIZZAORDER 4 (SIZE mdium-sized ) pizzas with footing cheese mushrooms (TOPPING and ) (TOPPING peppers ) ) )
1187,(ORDER (PIZZAORDER good afternoon can i please have (NUMBER a ) (SIZE medium-size ) cheeseburger and (TOPPING meatball ) pizza (TOPPING with ) no red peppers ) )
1188,(ORDER i'd like (PIZZAORDER to putin order in for a pizza (NUMBER which ) has cumin (TOPPING and ) (TOPPING pepperoni ) hummus ) )
1189,(ORDER (PIZZAORDER hi how are you i have another for (NUMBER a ) pizza with (TOPPING balsamic ) (TOPPING glaze ) and (TOPPING italian ) sausage without any pineapple ) )
1190,(ORDER i'd like (PIZZAORDER to place an order for twelve large (NUMBER pepperonis ) (SIZE and ) mushroom pizzas (TOPPING and ) one small pizza (SIZE with ) chicken bacon and (TOPPING black ) olives and a little bit cheese and ) )
1191,(ORDER i would like (PIZZAORDER have (NUMBER a ) (SIZE medium ) (TOPPING pine ) (TOPPING apple ) and (TOPPING peas ) pie no (NOT (TOPPING ham ) ) ) )
1192,(ORDER (PIZZAORDER how about placing an order for (NUMBER a ) pizza with blue (TOPPING cheese ) and (TOPPING salami ) as (TOPPING toppings ) and make sure there is no feta on it okay ) )
1193,(ORDER (PIZZAORDER i thinki'll grab two large pizzas (SIZE with ) (SIZE ham ) and more (TOPPING anchovies ) and (TOPPING one ) large (NUMBER pizza ) (SIZE with ) pepperoni ) )
1194,(ORDER i will (PIZZAORDER try the (NUMBER four ) (SIZE personal ) size pizzas ) )
1195,(ORDER please make me (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with a (STYLE lot ) of (STYLE bell ) (TOPPING peppers ) (TOPPING ground ) be and (TOPPING ham ) ) )
1196,(ORDER i would like (PIZZAORDER to try the (NUMBER a ) me pie with (QUANTITY just ) (TOPPING shrimp ) and these no (NOT (TOPPING olives ) ) ) )
1197,(ORDER (PIZZAORDER hello today i'd like to order 7 medium-sze (NUMBER pizzas ) (SIZE with ) everything and 7 medium-sze pizzas with pickled lions and double cheese and six medium-sze cokes ) )
1198,(ORDER (PIZZAORDER can yo handle this order (NUMBER a ) (SIZE small ) pie with (TOPPING pepperoni ) and (TOPPING pineapple ) but please leave off ham ) )
1199,(ORDER i would (PIZZAORDER like to get (NUMBER a ) Ginger beer (NUMBER six ) (SIZE large-size ) diet cokes and a medium (NUMBER santa ) ) )
1200,(ORDER good afternoon i'm (PIZZAORDER in the mood for two lunch (NUMBER mushy ) (SIZE peas ) pizzas with me (TOPPING lovers ) and no tomato ) )
1201,(ORDER repeat y favorite (PIZZAORDER order of a all (TOPPING truffle ) oil and (TOPPING a ) large (NUMBER truffle ) (SIZE oil ) pizza ) )
1202,(ORDER i will try (PIZZAORDER (NUMBER a ) (SIZE extralarge ) pizza with pickles artichokes (TOPPING and ) (TOPPING some ) bacon ) )
1203,(ORDER (PIZZAORDER can you give me (NUMBER 8 ) (SIZE personal ) (STYLE meat ) lovers pizzas and (NUMBER one ) (SIZE large ) vegetarian pizza ) )
1204,(ORDER i'd love (PIZZAORDER to have a pie (NUMBER with ) small size (SIZE along ) with tofu and (TOPPING pickled ) onions without (TOPPING garlic ) powder ) )
1205,(ORDER i'd ike (PIZZAORDER to order a pie (NUMBER and ) i'd like roasted garlic on there (QUANTITY as ) (TOPPING well ) as a bunch of jalapeños (NUMBER but ) no arugula please ) )
